L0.#,Present,Hallucination,Rationale
L0.1.1,Yes,,
L0.1.2,Yes,,Homogeneous to previous
L0.2.1,Yes,,Somewhat restrictive to access gate
L0.2.2,Yes,,
L0.2.3,No,No,
L0.3.1,Yes,,
L0.3.2,Yes,,
L0.3.3,No,Yes,Factory access is out-of-the-scope of system cybersecurity nfrs
L0.4.1,Yes,,
L0.4.2,Yes,,
L0.4.3,No,No,Dealer RBAC
L0.4.4,No,No,
L0.4.5,No,No,
L0.4.6,No,No,
L0.5.1,Yes,,
L0.5.2,No,No,
L0.5.3,Yes,,Homogeneous to L0.5.1
L0.5.4,No,Yes,Forwarder is out-of-the-scope of SOT
L0.6.1,Yes,,
L0.6.2,No,No,
L0.7.1,Yes,,
L0.7.2,No,No,Securize internal net
L0.7.3,No,No,
L0.7.4,No,No,
L0.8.1,Yes,,
L0.8.2,No,No,Nets must not only be segregated but also isolated
L0.9.1,Yes,,
L0.9.2,Yes,,
L0.9.3,Yes,,
L0.9.4,Partial,No,Partial hall.
L0.10.1,Yes,,
L0.10.2,No,No,
L0.10.3,Yes,,
