G0_iv.#,Present,Hallucination,Hall. Type,Rationale
G0_iv.1.1,Yes,,,
G0_iv.2.1,Yes,,,
G0_iv.2.2,Yes,,,
G0_iv.3.1,Yes,,,
G0_iv.3.2,Yes,,,
G0_iv.3.3,No,Yes,Template drift,
G0_iv.3.4,Yes,,,
G0_iv.3.5,Yes,,,
G0_iv.3.6,Yes,,,
G0_iv.4.1,No,No,,
G0_iv.4.2,No,Yes,Template drift,
G0_iv.4.3,Yes,,,
G0_iv.5.1,Yes,,,
G0_iv.5.2,No,Yes,Template drift,
G0_iv.5.3,No,Yes,Template drift,
G0_iv.6.1,Yes,,,
G0_iv.7.1,Yes,,,
G0_iv.7.2,Yes,,,
G0_iv.7.3,Yes,,,
G0_iv.7.4,Yes,,,
G0_iv.8.1,Yes,,,
G0_iv.9.1,Yes,,,
G0_iv.9.2,Yes,,,
G0_iv.9.3,No,No,,
G0_iv.9.4,Yes,,,
G0_iv.9.5,Yes,,,
G0_iv.10.1,Yes,,,
G0_iv.10.2,No,Yes,Architectural infeasibility,
G0_iv.10.3,No,Yes,Architectural infeasibility,
G0_iv.10.4,Yes,,,
