L0_iv.#,Present,Hallucination,Hall. Type,Rationale
L0_iv.1.1,Yes,,,
L0_iv.1.2,Yes,,,
L0_iv.1.3,Yes,,,
L0_iv.2.1,Yes,,,
L0_iv.2.2,Yes,,,
L0_iv.2.3,Yes,,,
L0_iv.3.1,Yes,,,
L0_iv.3.2,Yes,,,
L0_iv.3.3,Yes,,,
L0_iv.3.4,Yes,,,
L0_iv.3.5,Yes,,,
L0_iv.4.1,Yes,,,
L0_iv.4.2,Yes,,,
L0_iv.4.3,Yes,,,
L0_iv.5.1,Partial,No,,
L0_iv.5.2,Yes,,,
L0_iv.5.3,No,Yes,Responsibility leakage,Forwarder is out-of-the-scope of SOT
L0_iv.6.1,Partial,No,,
L0_iv.6.2,Partial,No,,
L0_iv.6.3,Partial,No,,
L0_iv.7.1,Yes,,,
L0_iv.7.2,Partial,No,,
L0_iv.7.3,Yes,,,
L0_iv.7.4,Yes,,,
L0_iv.7.5,No,No,,
L0_iv.8.1,Yes,,,
L0_iv.8.2,No,No,,
L0_iv.8.3,Yes,,,
L0_iv.9.1,Partial,No,,
L0_iv.9.2,Yes,,,
L0_iv.9.3,Yes,,,
L0_iv.10.1,No,No,,
L0_iv.10.2,No,No,,
L0_iv.10.3,Yes,,,
L0_iv.10.4,No,Yes,Architectural infeasibility,
L0_iv.10.5,No,Yes,Template drift,
