Q0_iii.#,Present,Hallucination,Hall. Type,Rationale
Q0_iii.1.1,Yes,,,
Q0_iii.2.1,Yes,,,
Q0_iii.2.2,Yes,,,
Q0_iii.2.3,Yes,,,
Q0_iii.2.4,No,Yes,Scope misalignment,
Q0_iii.3.1,Yes,,,
Q0_iii.3.2,Yes,,,
Q0_iii.3.3,No,Yes,Scope misalignment,
Q0_iii.3.4,No,Yes,Template drift,
Q0_iii.3.5,No,Yes,Contextual misfit,
Q0_iii.3.6,No,Yes,Architectural infeasibility,
Q0_iii.4.1,Partial,,,
Q0_iii.4.2,Yes,,,
Q0_iii.4.3,No,Yes,Scope misalignment,
Q0_iii.4.4,No,Yes,Contextual misfit,
Q0_iii.5.1,Yes,,,
Q0_iii.5.2,No,No,,
Q0_iii.6.1,Yes,,,
Q0_iii.6.2,Yes,,,
Q0_iii.6.3,Yes,,,
Q0_iii.6.4,Yes,,,
Q0_iii.6.5,Yes,,,
Q0_iii.6.6,Yes,,,
Q0_iii.7.1,Yes,,,
Q0_iii.7.2,No,Yes,Contextual misfit,
Q0_iii.7.3,Yes,,,
Q0_iii.7.4,No,Yes,Template drift,
Q0_iii.8.1,Yes,,,
Q0_iii.9.1,Yes,,,
Q0_iii.9.2,Yes,,,
Q0_iii.9.3,Yes,,,
Q0_iii.10.1,Yes,,,
Q0_iii.10.2,No,Yes,Contextual misfit,
Q0_iii.10.3,No,Yes,Template drift,
